gh,MPs,Rhodb_Redcomponent_percentile50th,Rhodb_filter_Red_component_percentile_90th,Rhodb_filter_Green_component_percentile_50th,Rhodb_filter_Green_ component_percentile_90th,Rhodb_filter_Blue_component_percentile_50th,Rhodb_filter_ Blue_ component_percentile_90th,nilrefilter_Redcomponent_percentile50th,nilre_filter_Red_component_percentile_90th,nilre_filter_Green_component_percentile_50th,nilre_filter_Green_ component_percentile_90th,nilre_filter_Blue_component_percentile_50th,nilre_filter_ Blue_ component_percentile_90th,DAPI_filter_Red_component_percentile_50th,DAPI_filter_ Red_ component_percentile_90th,DAPI_filter_Green_component_percentile_50th,DAPI_filter_ Green_ component_percentile_90th,DAPI_filter_Blue_component_percentile_50th,DAPI_filter_ Blue_ component_percentile_90th,FITC_filter_Red_component_percentile_50th,FITC_filter_ Red_ component_percentile_90th,FITC_filter_Green_component_percentile_50th,FITC_filter_ Green_ component_percentile_90th,FITC_filter_Blue_component_percentile_50th,FITC_filter_ Blue_ component_percentile_90th
75,PE100,0,0,0,0,0,0,63.166,66.998,0,0,0,0,0,0,0,0,0,0,0.213,0.3834,176.881,178.4818,27.218,27.4652
76,PE102,22.6375,23.1075,17.507,17.675,0,0,55.8715,56.9063,0,0,0,0,0,0,0,0,0,0,0.2285,0.4113,134.6865,140.3165,20.7175,21.6043
77,PETmono,4.1015,4.2491,3.1125,3.2417,0,0,0,0,0,0,0,0,2.885,5.193,61.4065,81.8589,97.94,130.6776,0,0,0,0,0,0
78,PETp,0,0,0,0,0,0,218.195,234.3158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,PLA,108.2595,108.5655,83.5845,83.8209,0,0,107.8665,110.2053,0,0,0,0,0,0,27.1865,28.5925,43.191,45.4334,0,0,0,0,0,0
80,PP1,0,0,0,0,0,0,0,0,4.775,5.8142,3.992,7.1856,0,0,0,0,0,0,0.7155,1.2879,167.388,168.8072,25.7595,25.9727
81,PP5,0,0,0,0,0,0,21.867,33.1414,0,0,0,0,0,0,0,0,0,0,0,0,166.8155,176.4279,25.67,27.1564
82,PS,0,0,0,0,0,0,244.055,244.4726,0,0,0,0,0,0,0,0,0,0,5.614,5.614,58.922,58.922,8.884,8.884
83,PSf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.1025,78.1965,83.047,124.8006,0,0,0,0,0,0
84,PVC,28.728,28.728,22.404,22.404,0,0,57.2145,90.9077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,OM,0,0,0,0,0,0,3.178,3.4308,0,0,0,0,0,0,11.733,11.7946,18.403,18.4902,0,0,0,0,0,0
86,PA,110.233,123.3794,85.101,95.213,0,0,78.827,82.1238,0,0,0,0,0,0,41.626,44.4084,57.613,58.0154,0,0,0,0,0,0
87,PA6,3.4965,3.7017,2.94,3.1,0,0,4.7035,5.2351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,PE,10.7155,17.9783,8.536,14.1592,0,0,36.9165,57.6145,0,0,0,0,0,0,0,0,0,0,0,0,215.6405,217.3921,33.2175,33.5035
89,PE100,0,0,0,0,0,0,71.557,75.3602,0,0,0,0,0,0,0,0,0,0,0,0,200.14,203.8736,30.8295,31.4107
90,PE102,27.5385,27.9365,21.513,21.8298,0,0,61.3065,64.5733,0,0,0,0,0,0,0,0,0,0,0,0,158.7205,165.0233,24.4665,25.4477
91,PETmono,4.0735,4.1411,3.4015,3.4579,0,0,0,0,0,0,0,0,0,0,41.627,51.0926,66.2825,81.4381,0,0,0,0,0,0
